Link, Anchor Text
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/ATBPWM1.abc", ATBPWM1.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/ATBPWM2.abc", ATBPWM2.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/AllForMeGrog.abc", AllForMeGrog.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/All_For_Me_Grog.abc", All_For_Me_Grog.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/AmazingGrace.abc", AmazingGrace.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Amazing_Grace.abc", Amazing_Grace.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/AmericaTheBeautiful.abc", AmericaTheBeautiful.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/America_The_Beautiful.abc", America_The_Beautiful.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/AngelBand.abc", AngelBand.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Angel_Band.abc", Angel_Band.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/AngelsWeHaveHeardOnHigh.abc", AngelsWeHaveHeardOnHigh.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Angels_We_Have_Heard_On_High.abc", Angels_We_Have_Heard_On_High.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/AthollHighlanders.abc", AthollHighlanders.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Atholl_Highlanders.abc", Atholl_Highlanders.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/AwayInAManger.abc", AwayInAManger.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Away_In_AManger.abc", Away_In_AManger.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/BackHomeInDerry.abc", BackHomeInDerry.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Back_Home_In_Derry.abc", Back_Home_In_Derry.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/BantryGirlsLament.abc", BantryGirlsLament.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Bantry_Girls_Lament.abc", Bantry_Girls_Lament.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/BarbaraAllen.abc", BarbaraAllen.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Barbara_Allen.abc", Barbara_Allen.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/BattleHymnOfTheRepublic.abc", BattleHymnOfTheRepublic.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/BattleOfNewOrleans.abc", BattleOfNewOrleans.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Battle_Hymn_Of_The_Republic.abc", Battle_Hymn_Of_The_Republic.abc
